,C1,C2,G
1954-05-26,129.40799078999999,116.66540964,146.68126746
1954-05-27,122.32877904,99.39213296999999,122.04561057
1954-05-28,114.40006188,86.36638334999999,99.67530144
1954-05-29,117.79808351999999,80.41984547999999,92.02975275
1954-05-30,120.34659975,78.43766619,91.18024734
1954-05-31,127.4258115,75.88914996,95.14460592
1954-06-01,125.44363220999999,73.90697066999999,96.56044827
1954-06-02,120.91293669,70.7921175,89.76440499
1954-06-03,118.36442045999999,71.35845444,85.23370947
1954-06-04,122.89511598,75.03964454999999,91.46341581
1954-06-05,123.46145292,75.03964454999999,94.29510051
1954-06-06,118.36442045999999,71.64162291,86.93272028999999
1954-06-07,116.94857811,69.09310667999999,84.66737253
1954-06-08,114.96639882,71.35845444,80.70301395
1954-06-09,113.267388,71.64162291,78.43766619
1954-06-10,118.36442045999999,77.87132925,85.51687794
1954-06-11,121.7624421,82.68519324,100.24163838
1954-06-12,127.4258115,90.89707887,110.4357033
1954-06-13,130.2574962,97.69312215,128.84165385
1954-06-14,135.92086559999998,92.87925815999999,129.69115926
1954-06-15,141.584235,96.56044827,125.72680068
1954-06-16,142.43374040999998,108.45352401,150.07928909999998
1954-06-17,140.45156112,100.52480684999999,149.51295216
1954-06-18,141.01789806,82.68519324,133.37234937
1954-06-19,141.01789806,78.43766619,125.72680068
1954-06-20,144.4159197,86.36638334999999,131.39017008
1954-06-21,150.07928909999998,110.71887176999999,155.7426585
1954-06-22,149.51295216,134.22185478,176.98029375
1954-06-23,149.51295216,154.04364768,198.217929
1954-06-24,151.77829992,146.11493052,198.217929
1954-06-25,148.94661521999998,136.48720254,184.0595055
1954-06-26,150.92879451,143.28324582,186.89119019999998
1954-06-27,162.53870178,146.11493052,201.04961369999998
1954-06-28,173.86544057999998,133.0891809,216.62387955
1954-06-29,168.48523964999998,117.23174657999999,195.3862443
1954-06-30,164.80404954,118.64758893,182.64366314999998
1954-07-01,174.43177752,128.55848538,202.46545605
1954-07-02,187.45752714,120.91293669,225.11893365
1954-07-03,182.92683162,106.75451319,206.7129831
1954-07-04,167.0693973,101.37431226,177.82979916
1954-07-05,163.38820719,106.75451319,172.16642976
1954-07-06,163.95454413,111.28520870999999,176.98029375
1954-07-07,162.53870178,121.47927363,176.13078833999998
1954-07-08,158.85751167,124.02778986,174.99811445999998
1954-07-09,156.59216390999998,109.01986095,159.14068014
1954-07-10,148.94661521999998,103.07332308,146.68126746
1954-07-11,142.43374040999998,108.45352401,142.71690888
1954-07-12,139.03571877,102.50698614,136.48720254
1954-07-13,132.23967549,94.01193203999999,122.04561057
1954-07-14,124.87729526999999,93.44559509999999,112.41788258999999
1954-07-15,120.91293669,101.9406492,112.41788258999999
1954-07-16,118.36442045999999,97.12678521,107.88718707
1954-07-17,114.40006188,90.33074193,95.71094286
1954-07-18,110.15253483,82.68519324,83.81786712
1954-07-19,108.17035554,77.87132925,76.4554869
1954-07-20,104.48916543,75.88914996,69.65944362
1954-07-21,103.35649155,74.47330760999999,68.52676973999999
1954-07-22,95.71094286,62.2970634,56.91686247
1954-07-23,50.40398766,46.722797549999996,13.87525503
1954-07-24,70.50894903,61.16438952,2.095446678
1954-07-25,77.87132925,61.73072646,22.993279764
1954-07-26,78.72083466,58.04953635,23.899418867999998
1954-07-27,76.17231843,52.952503889999996,15.29109738
1954-07-28,82.96836171,50.68715613,16.055652248999998
1954-07-29,82.96836171,50.68715613,15.489315309
1954-07-30,78.72083466,49.27131378,18.037831539
1954-07-31,78.72083466,50.68715613,20.501397228
1954-08-01,77.30499231,49.27131378,16.055652248999998
1954-08-02,76.73865537,49.55448225,16.253870178
1954-08-03,78.43766619,48.98814531,18.037831539
1954-08-04,82.68519324,47.57230296,19.425357041999998
1954-08-05,87.49905722999999,44.45744979,22.540210211999998
1954-08-06,88.34856264,39.6435858,19.8217929
1954-08-07,88.34856264,36.8119011,17.443177752
1954-08-08,88.34856264,39.6435858,17.046741894
1954-08-09,89.48123652,35.39605875,16.452088106999998
1954-08-10,89.48123652,34.546553339999996,14.554859358
1954-08-11,90.04757346,33.980216399999996,13.846938182999999
1954-08-12,90.04757346,32.56437405,16.253870178
1954-08-13,95.14460592,31.43170017,17.83961361
1954-08-14,99.1089645,30.29902629,19.028921183999998
1954-08-15,103.35649155,31.43170017,26.90100465
1954-08-16,103.92282849,28.316847,28.88318394
1954-08-17,104.48916543,28.316847,28.090312223999998
1954-08-18,105.33867083999999,20.388129839999998,13.507136018999999
1954-08-19,107.03768165999999,21.464170025999998,25.711697076
1954-08-20,102.79015461,21.860605883999998,25.4851623
1954-08-21,101.09114379,23.899418867999998,26.617836179999998
1954-08-22,95.71094286,23.219814539999998,20.501397228
1954-08-23,95.14460592,22.313675436,20.501397228
1954-08-24,94.57826898,21.011100474,20.048327676
1954-08-25,94.57826898,20.161595064,19.8217929
1954-08-26,95.14460592,20.614664616,22.08714066
1954-08-27,95.71094286,19.368723348,25.711697076
1954-08-28,93.44559509999999,17.981197845,24.805557972
1954-08-29,94.01193203999999,17.046741894,20.727932004
1954-08-30,93.44559509999999,16.70693973,21.181001556
1954-08-31,88.34856264,16.508721801,14.951295216
1954-09-01,82.68519324,16.876840812,19.623574971
1954-09-02,79.2871716,17.244959823,17.046741894
1954-09-03,70.50894903,14.781394134,6.541191657
1954-09-04,69.37627515,14.611493052,5.012081919
1954-09-05,69.09310667999999,14.781394134,2.010496137
1954-09-06,69.09310667999999,15.29109738,3.313071099
1954-09-07,67.96043279999999,15.121196298,3.171486864
1954-09-08,68.52676973999999,14.951295216,3.313071099
1954-09-09,69.37627515,14.781394134,5.493468318
1954-09-10,71.92479138,14.781394134,7.334063373
1954-09-11,73.34063373,15.630899544,10.335649155
1954-09-12,73.90697066999999,15.630899544,13.167333854999999
1954-09-13,74.19013914,15.800800626,14.951295216
1954-09-14,74.75647608,15.800800626,16.848523965
1954-09-15,75.88914996,15.970701708,19.227139113
1954-09-16,81.55251935999999,17.244959823,26.164766628
1954-09-17,96.2772798,18.575851632,44.74061826
1954-09-18,96.2772798,17.046741894,52.952503889999996
1954-09-19,94.57826898,14.130106653,48.70497684
1954-09-20,92.31292121999999,8.268519324,40.209922739999996
1954-09-21,91.18024734,5.4651514709999995,36.8119011
1954-09-22,90.6139104,4.559012367,35.11289028
1954-09-23,91.18024734,4.360794438,37.37823804
